"","name","value"
"X_k_p_1","X_k_p_1",1
"X_k_p_2","X_k_p_2",0
"X_k_p_3","X_k_p_3",1
"X_k_p_4","X_k_p_4",0
"X_k_p_5","X_k_p_5",1
"X_k_q_1","X_k_q_1",0
"X_k_q_2","X_k_q_2",1
"X_k_q_3","X_k_q_3",0
"X_k_q_4","X_k_q_4",1
"X_k_q_5","X_k_q_5",0
"X_k_r_1","X_k_r_1",0
"X_k_r_2","X_k_r_2",0
"X_k_r_3","X_k_r_3",0
"X_k_r_4","X_k_r_4",0
"X_k_r_5","X_k_r_5",0
"X_k_s_1","X_k_s_1",0
"X_k_s_2","X_k_s_2",0
"X_k_s_3","X_k_s_3",0
"X_k_s_4","X_k_s_4",0
"X_k_s_5","X_k_s_5",0
"X_l_p_1","X_l_p_1",0
"X_l_p_2","X_l_p_2",0
"X_l_p_3","X_l_p_3",0
"X_l_p_4","X_l_p_4",0
"X_l_p_5","X_l_p_5",0
"X_l_q_1","X_l_q_1",0
"X_l_q_2","X_l_q_2",0
"X_l_q_3","X_l_q_3",0
"X_l_q_4","X_l_q_4",0
"X_l_q_5","X_l_q_5",0
"X_l_r_1","X_l_r_1",1
"X_l_r_2","X_l_r_2",0
"X_l_r_3","X_l_r_3",1
"X_l_r_4","X_l_r_4",0
"X_l_r_5","X_l_r_5",1
"X_l_s_1","X_l_s_1",0
"X_l_s_2","X_l_s_2",1
"X_l_s_3","X_l_s_3",0
"X_l_s_4","X_l_s_4",1
"X_l_s_5","X_l_s_5",0
"X_m_p_1","X_m_p_1",0
"X_m_p_2","X_m_p_2",0
"X_m_p_3","X_m_p_3",0
"X_m_p_4","X_m_p_4",0
"X_m_p_5","X_m_p_5",0
"X_m_q_1","X_m_q_1",0
"X_m_q_2","X_m_q_2",0
"X_m_q_3","X_m_q_3",0
"X_m_q_4","X_m_q_4",0
"X_m_q_5","X_m_q_5",0
"X_m_r_1","X_m_r_1",0
"X_m_r_2","X_m_r_2",1
"X_m_r_3","X_m_r_3",0
"X_m_r_4","X_m_r_4",1
"X_m_r_5","X_m_r_5",0
"X_m_s_1","X_m_s_1",1
"X_m_s_2","X_m_s_2",0
"X_m_s_3","X_m_s_3",1
"X_m_s_4","X_m_s_4",0
"X_m_s_5","X_m_s_5",1
"X_n_p_1","X_n_p_1",0
"X_n_p_2","X_n_p_2",1
"X_n_p_3","X_n_p_3",0
"X_n_p_4","X_n_p_4",1
"X_n_p_5","X_n_p_5",0
"X_n_q_1","X_n_q_1",1
"X_n_q_2","X_n_q_2",0
"X_n_q_3","X_n_q_3",1
"X_n_q_4","X_n_q_4",0
"X_n_q_5","X_n_q_5",1
"X_n_r_1","X_n_r_1",0
"X_n_r_2","X_n_r_2",0
"X_n_r_3","X_n_r_3",0
"X_n_r_4","X_n_r_4",0
"X_n_r_5","X_n_r_5",0
"X_n_s_1","X_n_s_1",0
"X_n_s_2","X_n_s_2",0
"X_n_s_3","X_n_s_3",0
"X_n_s_4","X_n_s_4",0
"X_n_s_5","X_n_s_5",0
