"","year","ukr","pol","rus","decade"
"1",1990,7305.14340431125,6173.86241160969,8027.8455914773,"1990"
"2",1991,6902.48582269753,5913.85489554479,7857.90621486507,"1990"
"3",1992,6356.73416240888,6181.76889777759,6862.462729225,"1990"
"4",1993,5578.52070725226,6548.11889536722,6419.51646022236,"1990"
"5",1994,4412.74505408456,7027.07798101897,5734.41387687855,"1990"
"6",1995,3987.00567070544,7662.77157126606,5613.28064719915,"1990"
"7",1996,3686.5706576251,8250.35007365519,5517.85888983309,"1990"
"8",1997,3670.94033745321,8920.16054746493,5699.94761728982,"1990"
"9",1998,3674.41296451354,9471.41188027197,5465.05636193373,"1990"
"10",1999,3755.24435626541,10022.3953632385,5914.32606206006,"1990"
"11",2000,4106.83539140998,10655.425485274,6825.3915111818,"2000"
"12",2001,4631.60672991523,11102.0835060116,7361.36367852645,"2000"
"13",2002,4999.09094024694,11781.0563524395,8037.47453541558,"2000"
"14",2003,5621.90307732439,12257.3348539845,9254.53720076475,"2000"
"15",2004,6521.61085897415,13341.158266681,10226.7661539289,"2000"
"16",2005,6977.25891196442,13895.8533934196,11822.3469289417,"2000"
"17",2006,7775.60692973403,15139.4993315323,14912.2339332667,"2000"
"18",2007,8642.21388035429,16786.6642393219,16648.2416399717,"2000"
"19",2008,9062.24736172871,18310.3577835014,20163.6094155718,"2000"
"20",2009,7818.30385448924,19260.9241994169,19389.9411762443,"2000"
"21",2010,8245.37524130465,21064.0851811089,20490.1267193879,"2010"
"22",2011,8909.65960754126,22850.6388460286,22798.6744273279,"2010"
"23",2012,9343.33073966083,23833.2097049185,24303.4734145818,"2010"
"24",2013,10691.7646844701,24719.2475053519,26073.8745307451,"2010"
"25",2014,10743.5863638157,25612.257831144,25761.6480209933,"2010"
"26",2015,10164.3273340852,26856.2888277541,24085.3241847947,"2010"
"27",2016,11148.196546631,28283.7014373144,24125.3988633755,"2010"
"28",2017,11871.1236240918,30152.741569648,26005.979940469,"2010"
"29",2018,12629.1416610826,31834.4090985051,28763.5166314767,"2010"
"30",2019,13341.2105189612,34217.7157138218,29181.3632177676,"2010"
